SITE,IO OM 0-3,IO OM 3-6,IO OM 6-9,IO Mineral,IE OM 0-3,IE OM 3-6,IE OM 6-9,IE Min,I10 0-3 OM,I10 3-6 OM,I10 6-9 OM,I10 9-12 OM,I10 12-15 OM,I10 15-18 OM,I20 0-3 OM,I20 3-6 OM,I20 6-9 Mix,I20 Min,I30 0-3 OM,I30 3-6 OM,I30 6-9 OM,I30 Min,T0 0-3 OM,T0 3-6 OM,T0 6-9 OM,T0 9-12 OM,T0 12-15 OM,T0 Min,TE 0-3 OM,TE 3-6 OM,TE 6-9 OM,TE 9-12 OM,TE Min,T10 0-3 OM,T10 3-6 OM,T10 6-9 OM,T10 Min,T20 Mix 0-3,T20 Mix 3-6,T20 Mix 6-9,T20 Min,T30 Mix 0-3,T30 Mix 3-6,T30 Mix 6-9,T30 Min,BO 0-3 OM,BO 3-6 OM,BO 6-9 OM,BO 9-12 OM,BO 12-15 OM,BO 15-18 OM,BE 0-3 OM,BE 3-6 OM,BE 6-9 OM,BE 9-12 OM,BE 12-15 OM,BE Min,B10 0-3 OM,B10 3-6 OM,B10 6-9 OM,B10 9-12 OM,B10 12-15 OM,B10 15-18 OM,B10 Min,B20 0-3 OM,B20 3-6 OM,B20 6-9 Mix,B20 9-12 Mix,B20 12-15 Mix,B20 15-18 Mix,B20 18-21 Mix,B30 0-3 Mix,B30 3-6 Mix,B30 Min,CO 0-3 OM,CO 3-6 OM,CO 6-9 OM,CO 9-12 OM,CO Min,CE 0-3 OM,CE 3-6 OM,CE 6-9 Mix,CE Min,C10 0-3 Mix,C10 3-6 Mix,C10 6-9 Mix,C10 Min,C20 0-3 Mix,C20 3-6 Mix,C20 6-9 Mix,C20 9-12 Mix,C20 Min,C30 0-3 OM,C30 3-6 OM,C30 6-9 OM,C30 9-12 OM,C30 12-15 OM,C30 15-18 OM,C30 Min,G0 0-3 OM,G0 3-6 OM,G0 Mineral,GE 0-3 OM,GE 3-6 OM,GE 6-9 OM,GE Mineral,G10 0-3 OM,G10 3-6 OM,G10 6-9 OM,G10 9-12 OM,G10 12-15 OM,G10 Mineral,G20 0-3 OM,G20 3-6 OM,G20 6-9 Mix,G20 Min,G30 0-3 OM,G30 3-6 OM,G30 6-9 OM,G30 9-12 OM,G30 Min,L0 0-3 OM,L0 3-6 OM,L0 6-9 OM,L0 9-12 OM,L0 Min,LE 0-3 OM,LE 3-6 OM,LE 6-9 OM,LE Min,L10 0-3 Mix,L10 3-6 Mix,L10 Min,L20 0-3 Mix,L20 3-6 Mix,L20 6-9 Mix,L20 9-12 Mix,L20 Min,L30 0-3 Mix,L30 3-6 Mix,L30 6-9 Mix,L30 Min,A0 OM 0-3,A0 OM 3-6,A0 OM 6-9,A0 OM 9-12,A0 Min,AE Mix 0-3,AE Mix 3-6,AE Mix 6-9, AE Mix 9-12,AE Mix 12-15,AE Mix 15-18,AE Min,A10 0-3 Mix,A10 3-6 Mix,A10 Min,A20 0-3 OM,A20 3-6 OM,A20 6-9 OM,A20 9-12 OM,A20 12-15 OM,A20 15-18 OM,A20 Min,A30 0-3 OM,A30 3-6 OM,A30 6-9 OM,A30 9-12 OM,A30 12-15 OM,A30 15-18 OM,A30 18-21 OM,A30 Min,P0 0-3 OM ,P0 3-6 OM,P0 6-9 OM,P0 9-12 OM,P0 Min,PE 0-3 OM,PE 3-6 OM,PE 6-9 OM,PE Min,P10 0-3 Mix,P10 3-6 Mix,P10 6-9 Mix,P10 Min,P20 0-3 Mix,P20 3-6 Mix,P20 6-9 Mix,P20 9-12 Mix,P20 12-15 Mix,P20 15-18 Mix,P20 Min,P30 0-3 OM,P30 3-6 OM,P30 6-9 Mix,P30 Min,S0 OM 0-3,S0 OM 3-6,S0 OM 6-9,S0 OM 9-12,S0 OM 12-15,S0 Min,SE OM 0-3,SE OM 3-6,SE OM 6-9,SE OM 9-12,SE OM 12-15,SE Min,S10 0-3 Mix,S10 3-6 Mix,S10 6-9 Mix,S10 9-12 Mix,S10 12-15 Mix,S10 15-18 Mix,S10 18-21 Mix,S10 21-24 Mix,S10 24-27 Mix,S10 27-30 Mix,S20 0-3 Mix,S20 3-6 Mix,S20 6-9 Mix,S20 9-12 Mix,S20 12-15 Mix,S20 15-18 Mix,S20 Min,S30 0-3 OM,S30 3-6 OM,S30 6-9 OM,S30 9-12 OM,S30 12-15 OM,S30 Min, , , , , , , , , , , , , , , , , , , , , , , 
BX,4,23,4,,1,3,3,,,,2,7,1,2,1,,2,,,7,22,2,,3,13,,1,,1,,,,,,2,,,1,,,,6,4,6,,2,2,3,6,1,2,4,2,,,,,2,2,,1,4,1,,,,1,,,5,2,,,,,,,6,,,,1,5,2,2,,,,5,3,2,1,1,,6,2,1,,,,,,9,2,6,,3,2,1,1,7,,17,,1,,,,32,2,,1,2,1,2,7,,,4,,,,,,,,,,,,,,1,,2,1,,,,,,,,,,1,,,3,2,,1,,,,,,1,,,,,6,8,,,,,,,,1,2,,,,,,,,,,,1,,,3,2,15,2,2,,9,9,1,1,,,,,1,,,,1,,,1,,1,,,,,,4,8,,2,4,4,,,,,,,,,,,,,,,,,,,,,,,
DZ,1,,,,8,,3,1,7,7,1,,,1,1,,1,,3,4,2,1,3,1,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,5,,,1,4,,,,,1,,,,,1,1,,,,,,,,,,,,1,,,,1,3,,1,,,1,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,4,5,2,2,6,,,,,,,1,,,,5,3,3,1,1,,,2,1,,2,,,,,5,7,,1,,4,2,,,,,,,,,,,,,1,1,,,,6,1,1,,1,1,3,2,1,1,,,,1,,1,4,,1,,1,,2,3,,,,,,3,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,
I5,7,3, ,,2,1,2,,3,2,1,2,4, , ,,1,,,10,18,2,1,12,40,7,7,, ,,,,,2,2,,,2,2,,,4,6,2,1,6,3,1,2,1, ,3,,,,,,14,3,3,,1,2,,,,,,,,,,,,,5,,4,,,2,,,3, ,,,1,3,,,1,3,,1,,,,,1,1,,4,5,2,,,,1,,6,,17,1,4,2,1,2,4,1,1,3,2,2,,,,,,,1,,,,,,,,,,,,4,1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,22,4,2,,1,,,,,,,,,,1,,1,,,1,,,,,3,,5,4,1,,8,2,1,2,,,,,,,1,,,2,1,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
M5- Ametroproctus sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O3 - Carabodes sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4 - Damaeidae,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,1,,1,,,,,,2,,,,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,1,,1,,,,,,,,,1,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unidentified Immatures,4, ,,, , ,,, ,,,,,, , , ,1, , , , , ,,,,, , ,,,3,, , , ,1,1, , , , ,1, ,, , ,1,1,,1, ,,,,,, , , , , , ,, , , , , , , ,,,,1,,,,,,,,,2,,1,,28, , , , , , , , , , ,, ,,, , , ,, , , , , , , ,, , , , , , , ,8, , , ,, , , , , ,,, , ,1, ,, , , ,,,,,,,,,,,,,,9,12,,7,3,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro 2-Nanorchestes,69,6,2,,8,5,6,1,20,8,1,4,1,1,10,5,5,,4,16,6,5,5,23,4,2,,,12,2,,3,2,25,8,10,,3,3,5,1,1,4,1,1,30,29,5,2,4,1,63,15,2,2,1,3,11,,7,5,10,7,,,,2,7,1,2,,1,,1,19,62,4,2,1,9,2,2,1,2,11,3,1,3,3,2,3,,,,1,,,1,7,17,16,,12,10,16,,9,29,7,6,6,,14,1,13,2,4,6,,1,,6,2,8,1,,3,1,4,1,6,,1,7,2,,8,,,,2,,8,22,22,2,1,44,8,,3,2,,1,8,9,1,13,4,1,,,1,,18,2,3,,,2,,,35,10,2,1,1,12,13,6,,3,3,2,,1,1,,1,,,3,15,1,3,1,22,9,4,1,,,14,4,1,3,,,1,,1,3,3,1,1,2,3,,4,5,1,,,,,3,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,
"Pro 3-white, med, pentagonal", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro 4-Rhagidiidae, ,1,,,3,1,1,1,1,,,,,,1,4,1,,1,,1,,3,2,4,2,1,,1,1,,,3,2,,1,,,,,,1,2,,,1,,,1,2,,,1,,,,1,,,1,,,,,,,,,,,,,,,2,2,,2,,,,,,,,,,1,,,,,1,,,1,1,,,7,3,2,,3,5,,,,,,,,,1,1,1,,,2,,,,,,,1,,1,1,1,1,1,1,,,,,,,,,,3,2,5,2,,,1,1,1,,,1,,,,4,,,,,,,1,,,,,,,,1,,,,,,,,,,1,1,,,1,,,2,1,1,,2,1,,1,,2,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro 5-small w thin legs,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,6,,,1,,,2,,,3,,,,,,,,,3,,,,,,,,,,,,2,2,5,4,,,10,,,,1,,,4,,,,2,7,12,16,,3,1,2,1,5,3,,3,1,5,,9,7,4,,,1,,,4,6,,1,,,3,,,1,3,4,,,,,3,1,4,,7,,8,1,1,3,2,1,,,,1,,,,,2,,,,,,,,,,,,,,5,2,,,,7,5,1,1,2,,1,,,1,,,,1,2,13,1,2,,7,4,5,1,2,,2,2,,3,3,4,,1,3,,4,8,5,3,3,,1,,,,,,1,6,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Pro 6-w/ club foot,1,3,5,2,4,10,3,3,2,,1,2,,,1,,3,2,1,,4,3,,5,12,6,1,4,1,,,1,5,23,1,15,,,1,,1,1,2,,,3,1,3,2,2,,1,3,5,1,1,1,,,2,,,2,,,,,1,1,2,,,,,3,4,,8,7,,10,12,5,4,,2,,,,,1,,,,3,2,3,,2,3,5,7,1,1,2,7,7,1,1,1,5,1,3,,,,3,4,4,6,8,3,5,1,5,,1,2,2,11,2,1,3,6,5,8,1,1,,1,2,,2,,8,12,9,3,5,1,8,8,1,,2,5,2,1,5,2,4,3,2,,2,3,3,3,1,1,2,,7,15,8,1,2,6,3,5,1,4,,1,1,3,5,1,4,2,2,6,9,13,3,1,9,11,23,1,14,1,,9,1,1,3,1,3,7,3,6,4,6,2,7,1,1,1,2,,,,,5,,3,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,
"Pro 7-small, elong., pentagon",51,33,19,3,17,2,46,5,15,1,2,,,,6,1,,1,1,1,7,,16,40,3,12,,3,16,1,1,,3,25,4,5,,4,11,13,1,5,19,4,,11,16,1,2,1,1,3,5,,,,1,,,2,,1,1,1,,,1,2,4,,2,,,,9,1,7,7,4,7,12,10,6,3,1,8,,,,2,2,4,1,,1,1,3,2,,2,2,,8,7,1,,,,1,5,,,1,1,7,1,,,3,3,1,,2,3,10,,,4,2,,2,4,3,7,4,2,2,2,2,,3,2,7,15,12,2,6,13,6,7,7,1,3,13,2,,,1,2,2,,,,,1,,1,,,1,,,3,5,,,,,1,,,1,1,,,1,1,,,,,,,1,,,6,10,5,1,3,4,3,1,3,,3,,,,3,,1,,1,2,1,,2,,,,,,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pro 8-lg, yellow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro 9-med w/ long legs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,4,,,,,,4,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro 10-lg orange,1,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro 11-red eye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro 12-green tinge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro 13-hairy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pro 14-white, cone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro 15- lg blob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro 16- elong club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro 17- fuzzy pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro 18- elbowed palps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro 19- AK or R1 - astigmata,5,2,2,,2,1,6,,1,,,,,,,3,2,,,,1,,2,,,,,,,,,,,,2,,,,,,,,,,,1,6,1,,,,5,,,,1,1,7,1,4,,,1,,,1,3,,1,,1,,1,,,,,,,,,2,1,,,,,,,,3,,1,1,,,,2,,,,1,,2,,,,,1,,,1,4,,5,1,1,,5,1,,1,1,,,1,1,1,6,1,1,2,2,5,1,3,7,3,6,15,13,6,,,,,,1,6,8,64,17,7,1,1,1,,,3,7,1,2,1,2,,,1,,,1,,,5,,3,2,1,4,3,2,1,1,3,3,4,,2,1,4,11,,1,2,,,,2,2,,4,,1,2,,1,2,1,,2,2,1,2,5,3,4,3,1,3,3,3,,,,,,1,3,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,
Immatures,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,22,,,,,,,,,,,,,,,,, , ,,, ,,, ,,, ,,,,,,,,, ,,3,,,69,33,,,,,, , , , ,,, ,,,, ,,, ,,,, , , , ,, , , , , , ,, , , ,, , , ,,, ,,30, , ,, ,,, ,,6, , , ,,,,, , , ,, ,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bdellidae- EW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eupopidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Meso 1-lg, round, curled legs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Meso 2-lg,disks-Laelaptidae",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meso 3-w/ OM,2,1,1,,,,,,,,,2,2,,,,1,,,,,,,,,,,,,,1,,,,,,,1,,,,1,1,1,,,1,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,3,,, ,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
Meso 4-medium , ,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,1,,,,,,,,,,, ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mes 5-sclerotized w/rostrum, ,,,,3,,1,,3,,,,,1,,,,,,,,,1,,1,,,,3,1,,,,2,6,4,,,,,,,,,,1,,,,,,,,,,,,1,,2,1,1,,,,,1,,,1,1,,,,4,10,,,,1,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,,3,,,1,,1,,1,,,,,,,7, ,1,,,,,,,,,,,,,,,2,2,,,1,1,1,4,2,,,,,,,,,,,,,,,,,,5,,,,,,,,6,5,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,2,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Meso 6-little,white,stick legs ",15,10,2,,19,4,1,3,7,,,,,1,2,5,,2,6,7,51,5,5,3,9,1,,,6,8,1,3,7,15,4,4,,,1,2,,,,,,4,4,,,1,,5,1,8,3,3,,1,,3,,,,,,,2,,1,3,,,,,2,1,,2,,4,6,2,, ,,1,,2,1,,3,,1,,1,4,1,,,4,7,1,14,8,6,5,,3,,3,3,,13,,5,3,7,3,3,3,,9,7,3,2,,1,2,3,,3,1,2,5,9,2,1,,2,2,1,,10,7,13,6,,5,7,6,13,6,2,3,6,6,,11,18,3,1,1,1,,4,,,,1,1,,,9,10,7,,,8,14,34,4,1,3,2,3,1,1,,,,,,8,3,2,,19,11,5,12,2,,3,4,1,3,1,,3,1,2,7,2,5,5,3,1,1,,,,,,,,46,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Meso 7-lg, 2 dorsal shields",8,2,2,,9,2,1,,1,,,2,,,1,,1,,,1,1,,4,,,,,,5,2,,,,9,6,7,,,1,1,,,1,1,,,1,,,,,,,,,1,,4,2,,4,1,,,1,1,,1,1,,2,,,,1,3,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,2,2,,1,,,1,,,1,,2,,10,2,3,1,,8,3,6,1,,3,1,,,1,,,,1,,,,,,2,,5,1,1,1,,1,,,1,,,,,,,2,,,,,,,1,,,,,,,,5,2,,,,,,1,,2,,2,1,1,1,,,,,,1,,,,7,1,1,2,1,,2,2,,1,,,,1,,1,1,,,3,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
Meso 8-holodorsal-1M , ,,,, ,, , , , , ,,, , ,, ,, , , , , , , ,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,, , ,,, , ,,,,2, ,,,,, , ,,,,,,,,,1,,, ,,,, , ,, ,,1, ,,,,,,,,,,,,,,,,,, ,, ,,,,,,,,,, , , , , ,,,,,,, ,,,, , , , , ,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
