SITE,IO OM 0-3,IO OM 3-6,IO OM 6-9,IO Mineral,IE OM 0-3,IE OM 3-6,IE OM 6-9,IE Min,I10 0-3 OM,I10 3-6 OM,I10 6-9 OM,I10 9-12 OM,I10 12-15 OM,I10 15-18 OM,I20 0-3 OM,I20 3-6 OM,I20 6-9 Mix,I20 Min,I30 0-3 OM,I30 3-6 OM,I30 6-9 OM,I30 Min,T0 0-3 OM,T0 3-6 OM,T0 6-9 OM,T0 9-12 OM,T0 12-15 OM,T0 Min,TE 0-3 OM,TE 3-6 OM,TE 6-9 OM,TE 9-12 OM,TE Min,T10 0-3 OM,T10 3-6 OM,T10 6-9 OM,T10 Min,T20 Mix 0-3,T20 Mix 3-6,T20 Mix 6-9,T20 Min,T30 Mix 0-3,T30 Mix 3-6,T30 Mix 6-9,T30 Min,BO 0-3 OM,BO 3-6 OM,BO 6-9 OM,BO 9-12 OM,BO 12-15 OM,BO 15-18 OM,BE 0-3 OM,BE 3-6 OM,BE 6-9 OM,BE 9-12 OM,BE 12-15 OM,BE Min,B10 0-3 OM,B10 3-6 OM,B10 6-9 OM,B10 9-12 OM,B10 12-15 OM,B10 15-18 OM,B10 Min,B20 0-3 OM,B20 3-6 OM,B20 6-9 Mix,B20 9-12 Mix,B20 12-15 Mix,B20 15-18 Mix,B20 18-21 Mix,B30 0-3 Mix,B30 3-6 Mix,B30 Min,CO 0-3 OM,CO 3-6 OM,CO 6-9 OM,CO 9-12 OM,CO Min,CE 0-3 OM,CE 3-6 OM,CE 6-9 Mix,CE Min,C10 0-3 Mix,C10 3-6 Mix,C10 6-9 Mix,C10 Min,C20 0-3 Mix,C20 3-6 Mix,C20 6-9 Mix,C20 9-12 Mix,C20 Min,C30 0-3 OM,C30 3-6 OM,C30 6-9 OM,C30 9-12 OM,C30 12-15 OM,C30 15-18 OM,C30 Min,G0 0-3 OM,G0 3-6 OM,G0 Mineral,GE 0-3 OM,GE 3-6 OM,GE 6-9 OM,GE Mineral,G10 0-3 OM,G10 3-6 OM,G10 6-9 OM,G10 9-12 OM,G10 12-15 OM,G10 Mineral,G20 0-3 OM,G20 3-6 OM,G20 6-9 Mix,G20 Min,G30 0-3 OM,G30 3-6 OM,G30 6-9 OM,G30 9-12 OM,G30 Min,L0 0-3 OM,L0 3-6 OM,L0 6-9 OM,L0 9-12 OM,L0 Min,LE 0-3 OM,LE 3-6 OM,LE 6-9 OM,LE Min,L10 0-3 Mix,L10 3-6 Mix,L10 Min,L20 0-3 Mix,L20 3-6 Mix,L20 6-9 Mix,L20 9-12 Mix,L20 Min,L30 0-3 Mix,L30 3-6 Mix,L30 6-9 Mix,L30 Min,A0 OM 0-3,A0 OM 3-6,A0 OM 6-9,A0 OM 9-12,A0 Min,AE Mix 0-3,AE Mix 3-6,AE Mix 6-9, AE Mix 9-12,AE Mix 12-15,AE Mix 15-18,AE Min,A10 0-3 Mix,A10 3-6 Mix,A10 Min,A20 0-3 OM,A20 3-6 OM,A20 6-9 OM,A20 9-12 OM,A20 12-15 OM,A20 15-18 OM,A20 Min,A30 0-3 OM,A30 3-6 OM,A30 6-9 OM,A30 9-12 OM,A30 12-15 OM,A30 15-18 OM,A30 18-21 OM,A30 Min,P0 0-3 OM ,P0 3-6 OM,P0 6-9 OM,P0 9-12 OM,P0 Min,PE 0-3 OM,PE 3-6 OM,PE 6-9 OM,PE Min,P10 0-3 Mix,P10 3-6 Mix,P10 6-9 Mix,P10 Min,P20 0-3 Mix,P20 3-6 Mix,P20 6-9 Mix,P20 9-12 Mix,P20 12-15 Mix,P20 15-18 Mix,P20 Min,P30 0-3 OM,P30 3-6 OM,P30 6-9 Mix,P30 Min,S0 OM 0-3,S0 OM 3-6,S0 OM 6-9,S0 OM 9-12,S0 OM 12-15,S0 Min,SE OM 0-3,SE OM 3-6,SE OM 6-9,SE OM 9-12,SE OM 12-15,SE Min,S10 0-3 Mix,S10 3-6 Mix,S10 6-9 Mix,S10 9-12 Mix,S10 12-15 Mix,S10 15-18 Mix,S10 18-21 Mix,S10 21-24 Mix,S10 24-27 Mix,S10 27-30 Mix,S20 0-3 Mix,S20 3-6 Mix,S20 6-9 Mix,S20 9-12 Mix,S20 12-15 Mix,S20 15-18 Mix,S20 Min,S30 0-3 OM,S30 3-6 OM,S30 6-9 OM,S30 9-12 OM,S30 12-15 OM,S30 Min, , , , , , , , , , , , , , , , , , , , , , , 
Meso 9 - 5A,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meso 10-Zercon,,,,,,,2,,1,,,,,,,,,,1,1,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Meso 11- lg, 2 dorsal shields",2,,,,,,,,,,,,,,,,,,1,3,5,1,,,,,,,,1,,,,9,2,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,2,,1,2,24,14,3,8,,,,1,,,,,,2,,,,,1,,,,2,1,,,,,,,,,,,,,,,2,,1,,1,1,,2,1,1,,,1,,,1,,,,,2,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,2,1,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meso 12- 2 dorsal incom.-EL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gamasidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1C,2,2,1,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,4,,,,,,,1,,,,,10,4,,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,1,,1,,,1,,,1,,,,,,,,,,,,,,,2,1,,, ,1,,,,1,,,,,,,,1,,,,,,,,,,,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,1,,1,2,1,,,,1,,,,,,,,,,4,1,,,,,,,,,,,,,,1,,1,,2,,,,,,,,,,,,,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,
AB5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AQ1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E5 - Cosmozercon sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meso immatures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oribatids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Prostigs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mesostigs,169,222,47,10,119,61,66,6,134,21,35,34,22,15,92,57,64,13,118,108,319,33,71,161,161,20,29,28,138,75,66,32,53,262,103,101,8,11,100,29,12,60,63,34,4,177,116,54,34,21,24,166,45,19,21,9,8,218,108,114,83,127,70,4,13,7,35,40,20,86,25,2,1,4,114,117,16,96,10,38,212,112,45,28,20,25,3,88,75,50,33,50,138,10,88,91,70,50,42,183,138,13,139,122,66,34,59,62,24,26,77,12,177,22,85,32,121,56,330,86,25,113,162,50,41,17,57,34,42,35,49,23,53,64,77,19,21,2,30,40,42,2,128,120,109,54,17,205,180,59,91,29,30,22,65,97,8,87,85,43,5,20,11,5,68,10,49,21,12,16,11,0,210,90,28,14,1,98,167,122,55,105,57,46,30,27,25,13,34,111,26,33,85,29,15,11,286,197,105,36,29,24,225,143,36,41,21,2,12,27,14,72,59,49,63,40,34,24,8,40,2,0,0,0,9,178,197,49,71,28,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Total,127,46,28,5,34,19,62,11,39,9,4,6,1,1,18,13,11,3,7,17,20,8,28,71,23,22,2,7,30,4,1,4,16,100,17,31,0,7,15,18,3,8,27,5,1,46,52,10,7,9,2,78,24,7,4,3,7,20,1,16,8,11,11,1,0,1,6,10,7,7,3,4,1,1,102,102,11,22,12,16,24,28,15,17,16,13,1,14,3,4,9,5,3,1,9,4,7,5,11,39,38,26,21,26,25,9,17,35,13,12,14,3,28,3,35,12,12,10,14,12,9,40,14,18,16,3,7,9,18,20,18,9,13,29,12,13,18,6,11,17,24,8,28,39,55,19,17,64,28,20,85,28,11,17,13,15,3,19,17,12,5,5,4,2,22,5,8,3,1,5,2,0,56,32,13,4,4,29,26,14,3,12,8,8,5,5,11,2,9,15,5,13,39,18,9,2,47,38,43,9,20,8,22,17,10,9,10,5,7,10,11,11,17,18,13,17,9,4,11,10,2,0,0,0,8,16,13,5,3,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
% Oribatid,30,16,6,0,32,6,5,3,12,0,0,4,2,2,3,5,2,2,8,12,59,6,11,3,10,1,0,0,15,13,2,3,7,36,19,16,0,1,2,5,0,2,2,2,0,9,6,1,0,1,1,18,2,9,3,6,0,17,6,6,8,4,2,0,1,1,6,1,2,5,3,0,0,0,7,14,0,2,0,6,10,2,0,2,2,2,2,6,26,14,7,10,2,0,4,5,3,0,0,10,8,3,15,11,8,5,4,6,0,4,6,2,15,0,8,3,18,8,8,4,0,24,13,10,4,0,8,4,5,0,6,2,2,7,12,3,2,0,6,4,3,1,16,12,15,12,4,11,7,6,14,6,2,3,7,6,0,15,20,6,1,1,1,0,10,0,0,0,1,1,0,0,26,20,7,1,0,11,24,37,4,7,3,5,4,2,2,0,0,0,0,0,9,7,3,0,27,15,7,16,5,0,5,8,2,4,1,0,4,3,3,9,6,7,5,6,3,1,0,1,0,0,0,0,1,51,12,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
% Prostig,326,284,81,15,185,86,133,20,185,30,39,44,25,18,113,75,77,18,133,137,398,47,110,235,194,43,31,35,183,92,69,39,76,398,139,148,8,19,117,52,15,70,92,41,5,232,174,65,41,31,27,262,71,35,28,18,15,255,115,136,99,142,83,5,14,9,47,51,29,98,31,6,2,5,223,233,27,120,22,60,246,142,60,47,38,40,6,108,104,68,49,65,143,11,101,100,80,55,53,232,184,42,175,159,99,48,80,103,37,42,97,17,220,25,128,47,151,74,352,102,34,177,189,78,61,20,72,47,65,55,73,34,68,100,101,35,41,8,47,61,69,11,172,171,179,85,38,280,215,85,190,63,43,42,85,118,11,121,122,61,11,26,16,7,100,15,57,24,14,22,13,0,292,142,48,19,5,138,217,173,62,124,68,59,39,34,38,15,43,126,31,46,133,54,27,13,360,250,155,61,54,32,252,168,48,54,32,7,23,40,28,92,82,74,81,63,46,29,19,51,4,0,0,0,18,245,222,55,79,35,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
% Mesostig,51.84,78.17,58.02,66.67,64.32,70.93,49.62,30,72.43,70,89.74,77.27,88,83.33,81.42,76,83.12,72.22,88.72,78.83,80.15,70.21,64.55,68.51,82.99,46.51,93.55,80,75.41,81.52,95.65,82.05,69.74,65.83,74.1,68.24,100,57.89,85.47,55.77,80,85.71,68.48,82.93,80,76.29,66.67,83.08,82.93,67.74,88.89,63.36,63.38,54.29,75,50,53.33,85.49,93.91,83.82,83.84,89.44,84.34,80,92.86,77.78,74.47,78.43,68.97,87.76,80.65,33.33,50,80,51.12,50.21,59.26,80,45.45,63.33,86.18,78.87,75,59.57,52.63,62.5,50,81.48,72.12,73.53,67.35,76.92,96.5,90.91,87.13,91,87.5,90.91,79.25,78.88,75,30.95,79.43,76.73,66.67,70.83,73.75,60.19,64.86,61.9,79.38,70.59,80.45,88,66.41,68.09,80.13,75.68,93.75,84.31,73.53,63.84,85.71,64.1,67.21,85,79.17,72.34,64.62,63.64,67.12,67.65,77.94,64,76.24,54.29,51.22,25,63.83,65.57,60.87,18.18,74.42,70.18,60.89,63.53,44.74,73.21,83.72,69.41,47.89,46.03,69.77,52.38,76.47,82.2,72.73,71.9,69.67,70.49,45.45,76.92,68.75,71.43,68,66.67,85.96,87.5,85.71,72.73,84.62,0,71.92,63.38,58.33,73.68,20,71.01,76.96,70.52,88.71,84.68,83.82,77.97,76.92,79.41,65.79,86.67,79.07,88.1,83.87,71.74,63.91,53.7,55.56,84.62,79.44,78.8,67.74,59.02,53.7,75,89.29,85.12,75,75.93,65.63,28.57,52.17,67.5,50,78.26,71.95,66.22,77.78,63.49,73.91,82.76,42.11,78.43,50,#DIV/0!,#DIV/0!,#DIV/0!,50,72.65,88.74,89.09,89.87,80,72,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
,38.96,16.2,34.57,33.33,18.38,22.09,46.62,55,21.08,30,10.26,13.64,4,5.56,15.93,17.33,14.29,16.67,5.26,12.41,5.03,17.02,25.45,30.21,11.86,51.16,6.45,20,16.39,4.35,1.45,10.26,21.05,25.13,12.23,20.95,0,36.84,12.82,34.62,20,11.43,29.35,12.2,20,19.83,29.89,15.38,17.07,29.03,7.41,29.77,33.8,20,14.29,16.67,46.67,7.84,0.87,11.76,8.08,7.75,13.25,20,0,11.11,12.77,19.61,24.14,7.14,9.68,66.67,50,20,45.74,43.78,40.74,18.33,54.55,26.67,9.76,19.72,25,36.17,42.11,32.5,16.67,12.96,2.88,5.88,18.37,7.69,2.1,9.09,8.91,4,8.75,9.09,20.75,16.81,20.65,61.9,12,16.35,25.25,18.75,21.25,33.98,35.14,28.57,14.43,17.65,12.73,12,27.34,25.53,7.95,13.51,3.98,11.76,26.47,22.6,7.41,23.08,26.23,15,9.72,19.15,27.69,36.36,24.66,26.47,19.12,29,11.88,37.14,43.9,75,23.4,27.87,34.78,72.73,16.28,22.81,30.73,22.35,44.74,22.86,13.02,23.53,44.74,44.44,25.58,40.48,15.29,12.71,27.27,15.7,13.93,19.67,45.45,19.23,25,28.57,22,33.33,14.04,12.5,7.14,22.73,15.38,0,19.18,22.54,27.08,21.05,80,21.01,11.98,8.09,4.84,9.68,11.76,13.56,12.82,14.71,28.95,13.33,20.93,11.9,16.13,28.26,29.32,33.33,33.33,15.38,13.06,15.2,27.74,14.75,37.04,25,8.73,10.12,20.83,16.67,31.25,71.43,30.43,25,39.29,11.96,20.73,24.32,16.05,26.98,19.57,13.79,57.89,19.61,50,#DIV/0!,#DIV/0!,#DIV/0!,44.44,6.53,5.86,9.09,3.8,17.14,28,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
,9.2,5.63,7.41,0,17.3,6.98,3.76,15,6.49,0,0,9.09,8,11.11,2.65,6.67,2.6,11.11,6.02,8.76,14.82,12.77,10,1.28,5.15,2.33,0,0,8.2,14.13,2.9,7.69,9.21,9.05,13.67,10.81,0,5.26,1.71,9.62,0,2.86,2.17,4.88,0,3.88,3.45,1.54,0,3.23,3.7,6.87,2.82,25.71,10.71,33.33,0,6.67,5.22,4.41,8.08,2.82,2.41,0,7.14,11.11,12.77,1.96,6.9,5.1,9.68,0,0,0,3.14,6.01,0,1.67,0,10,4.07,1.41,0,4.26,5.26,5,33.33,5.56,25,20.59,14.29,15.38,1.4,0,3.96,5,3.75,0,0,4.31,4.35,7.14,8.57,6.92,8.08,10.42,5,5.83,0,9.52,6.19,11.76,6.82,0,6.25,6.38,11.92,10.81,2.27,3.92,0,13.56,6.88,12.82,6.56,0,11.11,8.51,7.69,0,8.22,5.88,2.94,7,11.88,8.57,4.88,0,12.77,6.56,4.35,9.09,9.3,7.02,8.38,14.12,10.53,3.93,3.26,7.06,7.37,9.52,4.65,7.14,8.24,5.08,0,12.4,16.39,9.84,9.09,3.85,6.25,0,10,0,0,0,7.14,4.55,0,0,8.9,14.08,14.58,5.26,0,7.97,11.06,21.39,6.45,5.65,4.41,8.47,10.26,5.88,5.26,0,0,0,0,0,6.77,12.96,11.11,0,7.5,6,4.52,26.23,9.26,0,1.98,4.76,4.17,7.41,3.13,0,17.39,7.5,10.71,9.78,7.32,9.46,6.17,9.52,6.52,3.45,0,1.96,0,#DIV/0!,#DIV/0!,#DIV/0!,5.56,20.82,5.41,1.82,6.33,2.86,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
